feature_set	split	species	species_group	action	recommended_anchors	true_best_anchor	top1_anchor	top2_anchors	top1_hit	top2_hit	recommended_set_contains_true_best	recommended_set_contains_true_top2	pred_top1_score	pred_top2_score	pred_margin	pred_top1_sd	chosen_actual_te_f1	true_best_te_f1	regret_after_action	true_best_low_lt0.5	chosen_low_lt0.5	margin	min_pred	max_sd
baseline_deployable	leave_clade_out	x_laevis	vertebrate	top2_or_local_probe	insect,insect	animal	insect	insect,insect	0	0	0	0	0.6232530193171872	0.6232530193171872	0.0	0.2125304660020858	0.2829600934257301	0.4013777654205557	0.11841767199482561	1	1	0.0	0.0	0.05
baseline_deployable	leave_clade_out	zebrafish	vertebrate	top2_or_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	0	1	1	1	0.4817853118312318	0.407000934718186	0.07478437711304581	0.256591242492072	0.8151318178516959	0.8151318178516959	0.0	0	0	0.0	0.0	0.05
baseline_deployable	leave_clade_out	brachypodium	plant	top2_or_local_probe	insect,plant	cross	insect	insect,plant	0	0	0	1	0.7565025769695534	0.7337274533189468	0.02277512365060652	0.1714354552157842	0.7765195434514967	0.8175422271365038	0.041022683685007166	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	c_elegans	other	top2_or_local_probe	cross,animal	animal	cross	cross,animal	0	1	1	1	0.5760687881271201	0.5054103632181733	0.0706584249089468	0.2827213717556996	0.9053972034713066	0.9053972034713066	0.0	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	cattle	vertebrate	top2_or_local_probe	insect,animal	animal	insect	insect,animal	0	1	1	1	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	0.9216935615407684	0.9216935615407684	0.0	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	chicken	vertebrate	top2_or_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	0	1	1	1	0.4817853118312318	0.407000934718186	0.07478437711304581	0.256591242492072	0.8516226680157541	0.8516226680157541	0.0	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	fruit_fly	insect	top2_or_local_probe	cross,animal	insect	cross	cross,animal	0	0	0	1	0.8172820050535898	0.72946150027776	0.08782050477582981	0.1283227196392206	0.9437257723304636	0.944818571090276	0.0010927987598123856	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	horse	vertebrate	top2_or_local_probe	insect,animal	cross	insect	insect,animal	0	0	0	1	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	0.8913728851560259	0.8925601404845789	0.0011872553285530163	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	human	vertebrate	top2_or_local_probe	insect,animal	human_h0_ntv2_500m	insect	insect,animal	0	0	0	1	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	0.904946115719272	0.961411324419745	0.056465208700473	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	lizard	vertebrate	top2_or_local_probe	insect,insect	animal	insect	insect,insect	0	0	0	0	0.6232530193171872	0.6232530193171872	0.0	0.2125304660020858	0.1418302477559669	0.2416400416987031	0.0998097939427362	1	1	0.0	0.0	0.1
baseline_deployable	leave_clade_out	maize	plant	top2_or_local_probe	insect,plant	cross	insect	insect,plant	0	0	0	1	0.749881206639109	0.7301274326274249	0.0197537740116841	0.1713839633779637	0.9619894139220538	0.9629892479990332	0.0009998340769793446	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	mouse	vertebrate	top2_or_local_probe	human_h0_ntv3_100m,human_h0_ntv2_500m	human_h0_ntv2_500m	human_h0_ntv3_100m	human_h0_ntv3_100m,human_h0_ntv2_500m	0	1	1	1	0.4817853118312318	0.407000934718186	0.07478437711304581	0.256591242492072	0.937559801228433	0.937559801228433	0.0	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	opossum	vertebrate	top2_or_local_probe	insect,animal	animal	insect	insect,animal	0	1	1	1	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	0.8811419601553324	0.8811419601553324	0.0	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	pig	vertebrate	top2_or_local_probe	insect,animal	animal	insect	insect,animal	0	1	1	1	0.6232530193171872	0.4960434828091383	0.12720953650804895	0.2125304660020858	0.8761131743803473	0.8761131743803473	0.0	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	red_flour_beetle	insect	top2_or_local_probe	cross,cross	insect	cross	cross,cross	0	0	0	0	0.7181661375679801	0.7181661375679801	0.0	0.1959322635437896	0.0030871384254842	0.0059299524368398	0.0028428140113556	1	1	0.0	0.0	0.1
baseline_deployable	leave_clade_out	rice	plant	top2_or_local_probe	insect,plant	cross	insect	insect,plant	0	0	0	1	0.7565896238450348	0.7330417136114997	0.023547910233535085	0.1711434971906512	0.8707687905287769	0.8757886614942711	0.0050198709654942775	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	sorghum	plant	top2_or_local_probe	insect,plant	cross	insect	insect,plant	0	0	0	1	0.7565896238450348	0.7330417136114997	0.023547910233535085	0.1711434971906512	0.9087078620701828	0.9154621597006132	0.006754297630430339	0	0	0.0	0.0	0.1
baseline_deployable	leave_clade_out	soybean	plant	top2_or_local_probe	insect,insect	animal	insect	insect,insect	0	0	0	0	0.3271236776499621	0.3271236776499621	0.0	0.1767827752656223	0.4867824461937038	0.5650860204945004	0.0783035743007966	0	1	0.0	0.0	0.1
